Page_ID,Content_Name,Content_URL,Content_Pattern,Marker_ID,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
36212785,ATT-AP-APSS-O-EETPolicy_Pay,https://workspace.web.att.com/sites/APSS/EETPolicy/pay/default.aspx,(.*)/sites/APSS/EETPolicy/pay/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_Pay,yes,no,no
36212786,ATT-AP-APSS-O-EETPolicy_Planning,https://workspace.web.att.com/sites/APSS/EETPolicy/planning/default.aspx,(.*)/sites/APSS/EETPolicy/planning/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_Planning,yes,no,no
36212787,ATT-AP-APSS-O-EETPolicy_PlanningGroups,https://workspace.web.att.com/sites/APSS/EETPolicy/planning/groups/default.aspx,(.*)/sites/APSS/EETPolicy/planning/groups/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_PlanningGroups,yes,no,no
36212788,ATT-AP-APSS-O-ExpenseNet,https://workspace.web.att.com/sites/APSS/ExpenseNet/default.aspx,(.*)/sites/APSS/ExpenseNet/default.aspx(.*),ATT-AP-APSS-O-ExpenseNet,yes,no,no
36212789,ATT-AP-APSS-O-FAQ2,https://workspace.web.att.com/sites/APSS/FAQ2/default.aspx,(.*)/sites/APSS/FAQ2/default.aspx(.*),ATT-AP-APSS-O-FAQ2,yes,no,no
36212790,ATT-AP-APSS-O-Forms,https://workspace.web.att.com/sites/APSS/Forms/default.aspx,(.*)/sites/APSS/Forms/default.aspx(.*),ATT-AP-APSS-O-Forms,yes,no,no
36212791,ATT-AP-APSS-O-OtherInfo,https://workspace.web.att.com/sites/APSS/Other/default.aspx,(.*)/sites/APSS/Other/default.aspx(.*),ATT-AP-APSS-O-OtherInfo,yes,no,no
36212792,ATT-AP-APSS-O-W9,https://workspace.web.att.com/sites/APSS/Other/W9/default.aspx,(.*)/sites/APSS/Other/W9/default.aspx(.*),ATT-AP-APSS-O-W9,yes,no,no
36212793,ATT-AP-APSS-O-PayTerms,https://workspace.web.att.com/sites/APSS/payterms/default.aspx,(.*)/sites/APSS/payterms/default.aspx(.*),ATT-AP-APSS-O-PayTerms,yes,no,no
36212794,ATT-AP-APSS-O-SupplierFinance,https://workspace.web.att.com/sites/APSS/payterms/supplierfinancing/default.aspx,(.*)/sites/APSS/payterms/supplierfinancing/default.aspx(.*),ATT-AP-APSS-O-SupplierFinance,yes,no,no
36212795,ATT-AP-APSS-O-Policies,https://workspace.web.att.com/sites/APSS/policies/default.aspx,(.*)/sites/APSS/policies/default.aspx(.*),ATT-AP-APSS-O-Policies,yes,no,no
36212796,ATT-AP-APSS-O-SOA,https://workspace.web.att.com/sites/APSS/SOA/default.aspx,(.*)/sites/APSS/SOA/default.aspx(.*),ATT-AP-APSS-O-SOA,yes,no,no
36212797,ATT-AP-APSS-O-TravelRequest,https://workspace.web.att.com/sites/APSS/TR/default.aspx,(.*)/sites/APSS/TR/default.aspx(.*),ATT-AP-APSS-O-TravelRequest,yes,no,no
36212798,ATT-AP-APSS-O-TravelFAQs,https://workspace.web.att.com/sites/APSS/TravelFAQs/default.aspx,(.*)/sites/APSS/TravelFAQs/default.aspx(.*),ATT-AP-APSS-O-TravelFAQs,yes,no,no
36212799,ATT-AP-APSS-O-MileageRate,https://finance.web.att.com/sites/APSS/TravelFAQs/mileagerate/default.aspx,(.*)/sites/APSS/TravelFAQs/mileagerate/default.aspx(.*),ATT-AP-APSS-O-MileageRate,yes,no,no
36212800,ATT-ANR-Portal-O-Home,http://newcou.edc.cingular.net/index.cfm(.*),(.*)(newcou.edc.cingular.net|ebizweb.stage.att.com(.*))/index.cfm(.*),ATT-ANR-Portal-O-Home,yes,no,no
36212801,ATT-ANR-Portal-O-ContactUs,http://newcou.edc.cingular.net/askAQuestion.cfm(.*),(.*)(newcou.edc.cingular.net|ebizweb.stage.att.com(.*))/askAQuestion.cfm(.*),ATT-ANR-Portal-O-ContactUs,yes,no,no
36212802,ATT-ANR-Portal-O-MyANR,http://newcou.edc.cingular.net/myANR.cfm,(.*)(newcou.edc.cingular.net|ebizweb.stage.att.com(.*))/myANR.cfm(.*),ATT-ANR-Portal-O-MyANR,yes,no,no
36212803,ATT-ANR-Portal-O-AccessoriesAccessories,http://wiwauk4coldfw02.itservices.sbc.com:83/equipAccessory.cfm?bc=eqAcc,(.*)(wiwauk4cold|ebizweb.stage)(.*)/equipAccessory.cfm(.*),ATT-ANR-Portal-O-AccessoriesAccessories,yes,no,no
36212804,ATT-ANR-Portal-O-ActivateNewService,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=activations&whereami=activations,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR/.module.activations.whereami.activations(.*),ATT-ANR-Portal-O-ActivateNewService,yes,no,no
36212805,ATT-ANR-Portal-O-Activations,http://wiwauk4coldfw02.itservices.sbc.com:83/_groups/ANR/?module=activationSplash&whereami=activations,(.*)(wiwauk4cold|ebizweb.stage)(.*)/_groups/ANR/.module.activationSplash(.*),ATT-ANR-Portal-O-Activations,yes,no,no
36212806,ATT-ANR-Portal-O-AddEquipment,http://wiwauk4coldfw02.itservices.sbc.com:83/cor/corEquipment_add.cfm?bc=corEquipAdd,(.*)(wiwauk4cold|ebizweb.stage)(.*)/cor/corEquipment_add.cfm.bc=corEquipAdd(.*),ATT-ANR-Portal-O-AddEquipment,yes,no,no
36212807,ATT-ANR-Portal-O-AllDevices,http://wiwauk4coldfw02.itservices.sbc.com:83/shop.cfm?bc=eqCatalogAll,(.*)(wiwauk4cold|ebizweb.stage)(.*)/shop.cfm.bc=eqCatalogAll(.*),ATT-ANR-Portal-O-AllDevices,yes,no,no
36212808,ATT-ANR-Portal-O-ANRNewsHistory,http://wiwauk4coldfw02.itservices.sbc.com:83/alertHistory.cfm?whereami=myANR,(.*)(wiwauk4cold|ebizweb.stage)(.*)/alertHistory.cfm.whereami.myANR(.*),ATT-ANR-Portal-O-ANRNewsHistory,yes,no,no
36212809,ATT-ANR-Portal-O-ANRWarrantyExchange,http://wiwauk4coldfw02.itservices.sbc.com:83/equipWarrantyExchange.cfm?bc=eqWarranty&warrType=exchange,(.*)(wiwauk4cold|ebizweb.stage)(.*)/equipWarrantyExchange(.*)warrType.exchange(.*),ATT-ANR-Portal-O-ANRWarrantyExchange,yes,no,no
36212810,ATT-ANR-Portal-O-Applications,http://wiwauk4coldfw02.itservices.sbc.com:83/view/vertApp.cfm,(.*)(wiwauk4cold|ebizweb.stage)(.*)/view/vertApp.cfm(.*),ATT-ANR-Portal-O-Applications,yes,no,no
36212811,ATT-ANR-Portal-O-ApprovalBypass,http://wiwauk4coldfw02.itservices.sbc.com:83/approvalbypass.cfm?bc=myCOUBypass&whereami=myCOU,(.*)(wiwauk4cold|ebizweb.stage)(.*)/approvalbypass.cfm.bc.myCOUBypass(.*),ATT-ANR-Portal-O-ApprovalBypass,yes,no,no
36212812,ATT-ANR-Portal-O-AskAQuestion,http://wiwauk4coldfw02.itservices.sbc.com:83/askAQuestion.cfm?whereami=myANR,(.*)(wiwauk4cold|ebizweb.stage)(.*)/askAQuestion.cfm.whereami=myANR(.*),ATT-ANR-Portal-O-AskAQuestion,yes,no,no
36212813,ATT-ANR-Portal-O-BES_GES_EAS,http://wiwauk4coldfw02.itservices.sbc.com:83/queue/besges/index.cfm,(.*)(wiwauk4cold|ebizweb.stage)(.*)/queue/besges/index.cfm(.*),ATT-ANR-Portal-O-BES_GES_EAS,yes,no,no
36212814,ATT-ANR-Portal-O-BlackberryDevices,http://wiwauk4coldfw02.itservices.sbc.com:83/shop.cfm?bc=eqCatalogBES&filter=BESDevice,(.*)(wiwauk4cold|ebizweb.stage)(.*)/shop.cfm.bc=eqCatalogBES.filter=BESDevice(.*),ATT-ANR-Portal-O-BlackberryDevices,yes,no,no
